# sent_id = 1084-1
# text = alexandre kalil anuncia fechamento de o comércio em belo horizonte a partir de sábado (janeiro de 222)
1	alexandre	SYM	44.47%
275	tudo	PRON	99.96%
276	isso	PRON	99.99%
277	antes	ADV	99.99%
278	de	ADP	100.00%
279	terminar	VERB	99.99%
280	eu	PRON	99.99%
281	gostaria	VERB	99.99%
282	de	ADP	100.00%
283	dizer	VERB	99.99%
284	o	DET	100.00%
285	seguinte	NOUN	57.71%
286	é	AUX	99.99%
287	preciso	ADJ	99.99%
288	de	ADP	100.00%
289	a	DET	100.00%
290	colaboração	NOUN	100.00%
291	de	ADP	100.00%
292	as	DET	100.00%
293	cidades	NOUN	100.00%
294	que	PRON	99.99%
295	rodeiam	VERB	99.99%
296	belo	ADJ	99.49%
297	horizonte	NOUN	99.56%
298	precisamos	VERB	99.99%
299	eu	PRON	99.99%
300	peço	VERB	99.99%
301	a	ADP	100.00%
302	os	DET	100.00%
303	prefeitos	NOUN	100.00%
304	,	PUNCT	100.00%
305	eu	PRON	99.99%
306	só	ADV	99.99%
307	não	ADV	99.99%
308	consegui	VERB	99.99%
309	ligar	VERB	99.99%
310	para	ADP	100.00%
311	ele	PRON	99.99%
312	porque	SCONJ	99.98%
313	a	DET	100.00%
314	notícia	NOUN	99.99%
315	foi	AUX	99.99%
316	agora	ADV	99.99%
317	tá	AUX	99.99%
318	certo	ADJ	99.99%
319	e	CCONJ	99.98%
320	essa	DET	100.00%
321	doença	NOUN	99.99%
322	parece	VERB	99.99%
323	que	SCONJ	99.99%
324	ela	PRON	99.99%
325	não	ADV	99.99%
326	é	AUX	99.99%
327	contada	VERB	100.00%
328	em	ADP	100.00%
329	dia	NOUN	99.99%
330	contada	VERB	100.00%
331	em	ADP	100.00%
332	hora	NOUN	100.00%
333	e	CCONJ	99.98%
334	eu	PRON	99.99%
335	ainda	ADV	99.99%
336	não	ADV	99.99%
337	conseguia	VERB	99.99%
338	comunicar	VERB	99.99%
339	com	ADP	100.00%
340	todos	PRON	99.99%
341	faço	VERB	99.99%
342	isso	PRON	99.99%
343	através	ADV	99.99%
344	de	ADP	100.00%
345	vocês	PRON	99.99%
346	nós	PRON	99.99%
347	precisamos	VERB	99.99%
348	de	ADP	100.00%
349	tomar	VERB	99.99%
350	atitudes	NOUN	100.00%
351	nós	PRON	99.99%
352	precisamos	VERB	99.99%
353	a	ADP	100.00%
354	os	DET	100.00%
355	prefeitos	NOUN	100.00%
356	de	ADP	100.00%
357	o	DET	100.00%
358	interior	NOUN	100.00%
359	como	ADV	99.94%
360	de	ADP	100.00%
361	a	DET	100.00%
362	capital	NOUN	99.99%
363	e	CCONJ	99.98%
364	o	DET	100.00%
365	dico	NOUN	99.99%
366	a	DET	100.00%
367	população	NOUN	100.00%
368	entende	VERB	100.00%
369	a	DET	100.00%
370	população	NOUN	100.00%
371	compreende	VERB	100.00%
372	a	DET	100.00%
373	população	NOUN	99.99%
374	inteligente	ADJ	99.99%
375	ela	PRON	99.99%
376	quer	VERB	99.99%
377	viver	VERB	99.99%
378	e	CCONJ	99.98%
379	eu	PRON	99.99%
380	tenho	VERB	99.99%
381	um	DET	100.00%
382	dado	NOUN	99.99%
383	matemático	ADJ	99.99%
384	para	ADP	100.00%
385	isso	PRON	99.99%
386	foi	AUX	99.99%
387	eleito	VERB	100.00%
388	em	ADP	100.00%
389	plena	ADJ	99.99%
390	pandemia	NOUN	100.00%
391	em	ADP	100.00%
392	o	DET	100.00%
393	primeiro	ADJ	99.99%
394	turno	NOUN	100.00%
395	tendo	VERB	99.20%
396	uma	NUM	100.00%
397	de	ADP	100.00%
398	as	DET	100.00%
399	medidas	NOUN	100.00%
400	mais	ADV	99.99%
401	duras	ADJ	99.99%
402	contra	ADP	100.00%
403	a	DET	100.00%
404	morte	NOUN	100.00%
405	que	PRON	99.76%
406	esse	DET	100.00%
407	país	NOUN	100.00%
408	já	ADV	99.99%
409	viu	VERB	100.00%
410	bom	ADJ	99.95%
411	então	ADV	99.99%
412	a	DET	100.00%
413	população	NOUN	100.00%
414	entende	VERB	100.00%
415	a	ADP	100.00%
416	respeito	NOUN	99.99%
417	de	ADP	100.00%
418	escolas	NOUN	100.00%
419	eu	PRON	99.98%
420	quero	VERB	99.97%
421	dizer	VERB	99.99%
422	o	DET	100.00%
423	seguinte	ADJ	71.02%
424	eu	PRON	99.94%
425	faço	VERB	99.99%
426	questão	NOUN	99.99%
427	de	ADP	100.00%
428	mandar	VERB	99.99%
429	tirar	VERB	99.99%
430	aquela	DET	100.00%
431	placa	NOUN	100.00%
432	que	PRON	99.99%
433	tem	VERB	99.99%
434	em	ADP	100.00%
435	a	DET	100.00%
436	porta	NOUN	100.00%
437	de	ADP	100.00%
438	a	DET	100.00%
439	prefeitura	NOUN	99.99%
440	um	NUM	99.99%
441	ano	NOUN	100.00%
442	sem	ADP	100.00%
443	escola	NOUN	100.00%
444	recebi	VERB	100.00%
445	a	DET	100.00%
446	notícia	NOUN	100.00%
447	hoje	ADV	99.99%
448	2	NUM	100.00%
449	professoras	NOUN	100.00%
450	infectadas	ADJ	99.51%
451	em	ADP	100.00%
452	são	X	30.83%
453	paulo	PROPN	24.74%

# sent_id = 1084-3
# text = 29 mortas bom então gente vamos ligar a população tem que pegar a rádio televisão jornal e internet e saber o que que tá acontecendo em o brasil alguma pergunta joão felipe loja itatiaia
1	29	NUM	99.97%
2	mortas	SYM	57.67%
3	bom	ADJ	99.98%
4	então	ADV	99.71%
5	gente	NOUN	99.97%
6	vamos	AUX	99.99%
7	ligar	VERB	99.99%
8	a	DET	100.00%
9	população	NOUN	100.00%
10	tem	VERB	99.98%
11	que	ADP	99.96%
12	pegar	VERB	99.99%
13	a	DET	100.00%
14	rádio	NOUN	99.99%
15	televisão	NOUN	99.99%
16	jornal	NOUN	99.99%
17	e	CCONJ	99.99%
18	internet	NOUN	100.00%
19	e	CCONJ	99.97%
20	saber	VERB	99.99%
21	o	PRON	99.98%
22	que	PRON	99.99%
23	que	PRON	99.99%
24	tá	AUX	99.99%
25	acontecendo	VERB	99.99%
26	em	ADP	100.00%
27	o	DET	100.00%
28	brasil	NOUN	98.93%
29	alguma	DET	100.00%
30	pergunta	NOUN	99.99%
31	joão	PROPN	37.98%
32	felipe	PROPN	88.40%
33	loja	PROPN	45.85%
34	itatiaia	PROPN	37.11%
