# sent_id = 1066-1
# text = covid-19 foi criada apenas para implementação de o governo mundial
1	covid-19	SYM	71.41%
15	o	DET	100.00%
16	fórum	NOUN	100.00%
17	econômico	ADJ	99.99%
18	mundial	ADJ	99.99%
19	.	PUNCT	100.00%

# sent_id = 1066-10
# text = assim como o governador inslee,em washington.
1	assim	ADV	99.98%
2	como	ADV	87.95%
3	o	DET	100.00%
4	governador	NOUN	99.99%
5	inslee	PROPN	58.20%
6	,	PUNCT	100.00%
7	em	ADP	100.00%
8	washington	X	99.21%
9	.	PUNCT	100.00%

# sent_id = 1066-11
# text = assim é pete buttigieg.
1	assim	ADV	99.42%
2	é	AUX	99.94%
3	pete	X	99.96%
4	buttigieg	X	99.96%
5	.	PUNCT	100.00%

# sent_id = 1066-12
# text = assim é justin trudeau.
1	assim	ADV	99.88%
2	é	AUX	99.94%
3	justin	X	99.94%
4	trudeau	X	99.94%
5	.	PUNCT	100.00%

# sent_id = 1066-13
# text = assim como seu ministro de as finanças.
1	assim	ADV	99.98%
2	como	ADV	60.50%
3	seu	DET	100.00%
4	ministro	NOUN	100.00%
5	de	ADP	100.00%
6	as	DET	100.00%
7	finanças	NOUN	99.99%
8	.	PUNCT	100.00%

# sent_id = 1066-14
# text = assim é o primeiro ministro de a nova zelândia.
1	assim	ADV	99.94%
2	é	AUX	99.99%
3	o	DET	100.00%
4	primeiro	ADJ	99.99%
5	ministro	NOUN	100.00%
6	de	ADP	100.00%
7	a	DET	100.00%
8	nova	ADJ	99.99%
9	zelândia	NOUN	100.00%
10	.	PUNCT	100.00%

# sent_id = 1066-15
# text = assim é macron em a frança.
1	assim	ADV	99.94%
2	é	AUX	99.99%
3	macron	X	99.45%
4	em	ADP	100.00%
5	a	DET	100.00%
6	frança	NOUN	99.99%
7	.	PUNCT	100.00%

# sent_id = 1066-16
# text = a lista é enorme.
1	a	DET	100.00%
2	lista	NOUN	99.99%
3	é	AUX	99.99%
4	enorme	ADJ	99.99%
5	.	PUNCT	100.00%

# sent_id = 1066-17
# text = e não é só em a política.
1	e	CCONJ	99.83%
2	não	ADV	99.99%
3	é	AUX	99.99%
4	só	ADV	99.99%
5	em	ADP	100.00%
6	a	DET	100.00%
7	política	NOUN	99.99%
8	.	PUNCT	100.00%

# sent_id = 1066-18
# text = eles estão em os bancos, estão por toda parte em tecnologia, e eles têm uma agenda clara que é não alinhado com a constituição de os eua.
1	eles	PRON	99.99%
2	estão	AUX	99.99%
3	em	ADP	100.00%
4	os	DET	100.00%
5	bancos	NOUN	100.00%
6	,	PUNCT	100.00%
7	estão	AUX	99.99%
8	por	ADP	100.00%
9	toda	DET	100.00%
10	parte	NOUN	100.00%
11	em	ADP	100.00%
12	tecnologia	NOUN	100.00%
13	,	PUNCT	100.00%
14	e	CCONJ	99.99%
15	eles	PRON	99.99%
16	têm	VERB	99.99%
17	uma	DET	100.00%
18	agenda	NOUN	100.00%
19	clara	ADJ	99.99%
20	que	PRON	99.96%
21	é	AUX	99.99%
22	não	ADV	99.99%
23	alinhado	VERB	99.99%
24	com	ADP	100.00%
25	a	DET	100.00%
26	constituição	NOUN	100.00%
27	de	ADP	100.00%
28	os	DET	100.00%
29	eua	NOUN	99.61%
30	.	PUNCT	100.00%

# sent_id = 1066-19
# text = essas pessoas tem investido em uma visão de mundo que acredita que o estado-nação é obsoleto, e eles estão tentando ativamente avançar a causa de um governo mundial que irá suplantar o governo nacional.
1	essas	DET	100.00%
2	pessoas	NOUN	100.00%
3	tem	AUX	99.99%
4	investido	VERB	99.99%
5	em	ADP	100.00%
6	uma	DET	100.00%
7	visão	NOUN	100.00%
8	de	ADP	100.00%
9	mundo	NOUN	100.00%
10	que	PRON	99.99%
11	acredita	VERB	100.00%
12	que	SCONJ	99.99%
13	o	DET	100.00%
14	estado-nação	NOUN	100.00%
15	é	AUX	99.99%
16	obsoleto	ADJ	99.99%
17	,	PUNCT	100.00%
18	e	CCONJ	99.99%
19	eles	PRON	99.99%
20	estão	AUX	99.99%
21	tentando	VERB	99.99%
22	ativamente	ADV	99.99%
23	avançar	VERB	99.99%
24	a	DET	100.00%
25	causa	NOUN	100.00%
26	de	ADP	100.00%
27	um	DET	100.00%
28	governo	NOUN	100.00%
29	mundial	ADJ	99.99%
30	que	PRON	99.99%
31	irá	AUX	99.99%
32	suplantar	VERB	99.99%
33	o	DET	100.00%
34	governo	NOUN	100.00%
35	nacional	ADJ	99.99%
36	.	PUNCT	100.00%

# sent_id = 1066-20
# text = e então temos pessoas suficientes que estão cientes de isso?
1	e	CCONJ	99.94%
2	então	ADV	99.99%
3	temos	VERB	99.99%
4	pessoas	NOUN	99.99%
5	suficientes	ADJ	99.99%
6	que	PRON	99.99%
7	estão	AUX	99.99%
8	cientes	ADJ	99.98%
9	de	ADP	100.00%
10	isso	PRON	99.99%
11	?	PUNCT	100.00%

# sent_id = 1066-21
# text = não.
1	não	ADV	99.94%
2	.	PUNCT	99.83%

# sent_id = 1066-22
# text = essa é a grande batalha.
1	essa	PRON	99.99%
2	é	AUX	99.99%
3	a	DET	100.00%
4	grande	ADJ	99.99%
5	batalha	NOUN	99.99%
6	.	PUNCT	100.00%

# sent_id = 1066-23
# text = eu realmente sinto que isto a situação de a covid é apenas uma escaramuça.
1	eu	PRON	99.98%
2	realmente	ADV	99.99%
3	sinto	VERB	99.99%
4	que	SCONJ	99.99%
5	isto	PRON	99.99%
6	a	DET	100.00%
7	situação	NOUN	100.00%
8	de	ADP	100.00%
9	a	DET	99.99%
10	covid	X	99.47%
11	é	AUX	99.99%
12	apenas	ADV	99.98%
13	uma	DET	100.00%
14	escaramuça	NOUN	100.00%
15	.	PUNCT	100.00%

# sent_id = 1066-24
# text = e a maior batalha é contra a censura central e controle e um totalitarismo global crescente”.
1	e	CCONJ	99.97%
2	a	DET	100.00%
3	maior	ADJ	99.99%
4	batalha	NOUN	99.99%
5	é	AUX	99.99%
6	contra	ADP	100.00%
7	a	DET	100.00%
8	censura	NOUN	100.00%
9	central	ADJ	99.99%
10	e	CCONJ	99.99%
11	controle	NOUN	100.00%
12	e	CCONJ	99.99%
13	um	DET	100.00%
14	totalitarismo	NOUN	99.99%
15	global	ADJ	99.99%
16	crescente	ADJ	99.99%
17	”	PUNCT	81.56%
18	.	PUNCT	100.00%
