S0001	1	Descubra	VERB	LEMMA	descubcer	descobrir
S0129	5	8h/9h30	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0135	15	FestA	PROPN	LEMMA	FESTA	FestA
S0145	5	10h30/13h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0147	10	5a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0147	16	14h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0157	5	11h/16h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0161	7	A	PROPN	LEMMA	o	A
S0163	1	Perfeito	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|Number=Sing|VerbForm=Part
S0171	1	4a	NOUN	LEMMA	4A	4a
S0171	1	4a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0171	3	19h30/22h30	NOUN	LEMMA	19h30/22H30	19h30/22h30
S0171	3	19h30/22h30	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0175	3	bit.ly/vivenciando	NOUN	FEATS	VerbForm=Ger	_
S0183	1	Pq.	PUNCT	LEMMA	PQ.	Pq.
S0187	6	s/no	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0189	1	3a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0191	1	3a	NOUN	LEMMA	3A	3a
S0191	1	3a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0191	3	18h/20h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0195	27	descubra	VERB	LEMMA	descubrer	descobrir
S0195	30	oculto	ADJ	FEATS	Gender=Masc|Number=Sing	Gender=Masc|Number=Sing|VerbForm=Part
S0203	1	Sáb.	NOUN	FEATS	Abbr=Yes|Gender=Masc	_
S0203	3	9h/12h	NOUN	LEMMA	9H/12h	9h/12h
S0203	3	9h/12h	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0209	1	Rainhas	PROPN	FEATS	Gender=Fem|Number=Plur	_
S0213	1	2a	NOUN	LEMMA	2A	2a
S0213	1	2a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0213	3	sáb.	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0217	10	Desafiam	PROPN	LEMMA	desafiar	Desafiam
S0217	10	Desafiam	PROPN	FEATS	Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin	_
S0225	1	2a	NOUN	LEMMA	2A	2a
S0225	1	2a	NOUN	FEATS	Gender=Fem|Number=Sing	_
S0225	3	5a	NOUN	LEMMA	5A	5a
S0225	3	5a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0225	5	19h/22h30	NOUN	LEMMA	19h/22H30	19h/22h30
S0225	5	19h/22h30	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0233	6	2o	ADJ	FEATS	Gender=Masc|Number=Sing|NumType=Ord	Gender=Masc|NumType=Ord
S0235	1	3a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0237	1	3a	NOUN	LEMMA	3A	3a
S0237	1	3a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0237	3	18h30/21h30	NOUN	LEMMA	18h30/21H30	18h30/21h30
S0237	3	18h30/21h30	NOUN	FEATS	Gender=Fem|Number=Plur	_
S0239	4	credencial	NOUN	FEATS	Gender=Fem|Number=Sing	Number=Sing
S0241	34	sacis	NOUN	FEATS	Number=Plur	Gender=Masc|Number=Plur
S0249	1	3a	NOUN	LEMMA	3A	3a
S0249	1	3a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0251	1	3a	NOUN	LEMMA	3A	3a
S0251	1	3a	NOUN	FEATS	Abbr=Yes|Gender=Fem|Number=Sing	_
S0251	3	16h30/18h	NOUN	FEATS	Gender=Fem|Number=Plur	_

==========================================================

Pchanged - fixed: 0
Lchanged - fixed: 47
Fchanged - fixed: 62
