arquivo,dataset,subset,caminho_relativo,caminho_completo,total_sentencas,total_palavras,total_silabas,media_silabas_por_sentenca,media_silabas_por_palavra
832.txt,FakeBR_Human,,832.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/832.txt,13,205,421,32.38461538461539,2.053658536585366
1243.txt,FakeBR_Human,,1243.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1243.txt,1,10,20,20.0,2.0
2040.txt,FakeBR_Human,,2040.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2040.txt,11,165,362,32.90909090909091,2.193939393939394
611.txt,FakeBR_Human,,611.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/611.txt,13,286,593,45.61538461538461,2.0734265734265733
701.txt,FakeBR_Human,,701.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/701.txt,6,125,253,42.166666666666664,2.024
2918.txt,FakeBR_Human,,2918.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2918.txt,9,148,341,37.888888888888886,2.304054054054054
2949.txt,FakeBR_Human,,2949.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2949.txt,7,140,298,42.57142857142857,2.1285714285714286
2626.txt,FakeBR_Human,,2626.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2626.txt,10,152,324,32.4,2.1315789473684212
689.txt,FakeBR_Human,,689.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/689.txt,8,123,289,36.125,2.3495934959349594
947.txt,FakeBR_Human,,947.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/947.txt,6,115,226,37.666666666666664,1.9652173913043478
1785.txt,FakeBR_Human,,1785.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1785.txt,7,96,219,31.285714285714285,2.28125
453.txt,FakeBR_Human,,453.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/453.txt,13,228,472,36.30769230769231,2.0701754385964914
3232.txt,FakeBR_Human,,3232.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3232.txt,4,122,262,65.5,2.1475409836065573
1663.txt,FakeBR_Human,,1663.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1663.txt,7,94,199,28.428571428571427,2.117021276595745
2722.txt,FakeBR_Human,,2722.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2722.txt,8,115,278,34.75,2.417391304347826
769.txt,FakeBR_Human,,769.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/769.txt,3,52,117,39.0,2.25
1239.txt,FakeBR_Human,,1239.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1239.txt,8,140,317,39.625,2.2642857142857142
154.txt,FakeBR_Human,,154.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/154.txt,6,144,319,53.166666666666664,2.2152777777777777
1923.txt,FakeBR_Human,,1923.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1923.txt,8,133,282,35.25,2.1203007518796992
3574.txt,FakeBR_Human,,3574.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3574.txt,7,171,385,55.0,2.2514619883040936
2871.txt,FakeBR_Human,,2871.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2871.txt,6,134,292,48.666666666666664,2.1791044776119404
618.txt,FakeBR_Human,,618.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/618.txt,7,102,202,28.857142857142858,1.9803921568627452
1652.txt,FakeBR_Human,,1652.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1652.txt,9,106,253,28.11111111111111,2.3867924528301887
1752.txt,FakeBR_Human,,1752.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1752.txt,7,129,269,38.42857142857143,2.0852713178294575
1479.txt,FakeBR_Human,,1479.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1479.txt,8,275,598,74.75,2.1745454545454543
1835.txt,FakeBR_Human,,1835.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1835.txt,5,51,98,19.6,1.9215686274509804
1234.txt,FakeBR_Human,,1234.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1234.txt,7,87,194,27.714285714285715,2.2298850574712645
2329.txt,FakeBR_Human,,2329.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2329.txt,9,180,415,46.111111111111114,2.3055555555555554
2648.txt,FakeBR_Human,,2648.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2648.txt,6,132,278,46.333333333333336,2.106060606060606
1420.txt,FakeBR_Human,,1420.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1420.txt,22,266,537,24.40909090909091,2.018796992481203
3261.txt,FakeBR_Human,,3261.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3261.txt,4,128,284,71.0,2.21875
2345.txt,FakeBR_Human,,2345.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2345.txt,6,92,213,35.5,2.3152173913043477
44.txt,FakeBR_Human,,44.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/44.txt,18,384,834,46.333333333333336,2.171875
678.txt,FakeBR_Human,,678.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/678.txt,9,116,241,26.77777777777778,2.0775862068965516
2249.txt,FakeBR_Human,,2249.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2249.txt,6,93,212,35.333333333333336,2.2795698924731185
3135.txt,FakeBR_Human,,3135.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3135.txt,40,1484,3367,84.175,2.268867924528302
1217.txt,FakeBR_Human,,1217.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1217.txt,11,177,353,32.09090909090909,1.9943502824858756
1277.txt,FakeBR_Human,,1277.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1277.txt,14,333,718,51.285714285714285,2.156156156156156
3072.txt,FakeBR_Human,,3072.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3072.txt,3,101,218,72.66666666666667,2.1584158415841586
1867.txt,FakeBR_Human,,1867.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1867.txt,10,145,315,31.5,2.1724137931034484
1591.txt,FakeBR_Human,,1591.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1591.txt,11,193,425,38.63636363636363,2.2020725388601035
880.txt,FakeBR_Human,,880.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/880.txt,5,120,253,50.6,2.1083333333333334
3538.txt,FakeBR_Human,,3538.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3538.txt,3,76,160,53.333333333333336,2.1052631578947367
2718.txt,FakeBR_Human,,2718.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2718.txt,6,109,229,38.166666666666664,2.1009174311926606
1582.txt,FakeBR_Human,,1582.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1582.txt,7,133,293,41.857142857142854,2.2030075187969924
1356.txt,FakeBR_Human,,1356.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1356.txt,6,120,263,43.833333333333336,2.191666666666667
114.txt,FakeBR_Human,,114.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/114.txt,10,320,754,75.4,2.35625
1998.txt,FakeBR_Human,,1998.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1998.txt,18,343,781,43.388888888888886,2.2769679300291545
2827.txt,FakeBR_Human,,2827.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2827.txt,8,113,284,35.5,2.5132743362831858
1193.txt,FakeBR_Human,,1193.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1193.txt,8,92,204,25.5,2.217391304347826
52.txt,FakeBR_Human,,52.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/52.txt,28,299,637,22.75,2.130434782608696
2383.txt,FakeBR_Human,,2383.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2383.txt,5,105,235,47.0,2.238095238095238
3163.txt,FakeBR_Human,,3163.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/3163.txt,8,188,425,53.125,2.2606382978723403
1475.txt,FakeBR_Human,,1475.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/1475.txt,11,164,340,30.90909090909091,2.073170731707317
2428.txt,FakeBR_Human,,2428.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/2428.txt,7,75,159,22.714285714285715,2.12
999.txt,FakeBR_Human,,999.txt,/home/pedrest/Projects/noticias_falsas_humano_maquina_caracterizacao/corpus/Fake.br-Corpus-master/full_texts/fake_br_clean/999.txt,16,401,891,55.6875,2.2219451371571073
